Customer,RSC,ADO,EXT REF,Status,Description,RSC Expiry,"Value / Cost","Logged/Raised","Last Update",
BACB,0042,,,Rejected,RSC042 - ReReport Trades,,£0.00,25-Aug-20,25-Aug-20,
BACB,,,,Ref Product,Misc UI & Reporting Improvements,,£0.00,09-Sep-20,09-Sep-20,
BACB,0043,,,Delivered,RSC043 - Accrued Income Report (by Contract),,"£18,573",24-May-20,24-May-20,
BACB,,,,Rejected,FIFO/Average Bond Sale,,£0.00,17-Sep-20,17-Sep-20,
BACB,,,,Pre-RSC,Classic Reports - Export to Excel,,£0.00,17-Sep-20,17-Sep-20,
BACB,9999,,,With Client,Upgrade,,"£47,623.50",25-Oct-20,25-Oct-20,
Bank Leumi,0005,,,With Client,RSC005 - Position Event,,"£9,492.12",06-Oct-20,06-Oct-20,
Bank Leumi,0006,,,With Client,RSC006 - ChangeRateDeal Source to Refinitiv,,"£7,766.28",07-Oct-20,07-Oct-20,
Bank of Ireland,0639,,,Rejected,RSC639 - Payment File as CSV,,£0,21-May-20,21-May-20,
Bank of Ireland,0636,,,Approved,RSC636 - FXPay Upgrade,,£0,15-May-20,15-May-20,
Bank of Ireland,0646,,,Pre-RSC,RSC646 - Extending No. Currencies ,,£0,15-May-20,15-May-20,
Bank of Ireland,0641,,,Delivered,RSC641 – Fraud Transaction Monitoring Report ,,"£4,447.00",09-Oct-20,09-Oct-20,
Bank of Ireland,0642,,,Delivered,RSC642 - Teardrop Change ,,"£5,337.90",12-Oct-20,12-Oct-20,
Bank of Ireland,0647,,,Rejected,RSC647 - Onboarding UI Improvements,,£0.00,27-Jan-21,27-Jan-21,
Bank of Ireland,0648,,,Delivered,RSC648 - Onboarding 4-eyes Check,,"£12,010.28",26-Jan-21,26-Jan-21,
Bank of Ireland,0644,,,Delivered,RSC644 - Bulk Payments,,"£42,258.38",27-Jan-21,27-Jan-21,
Bank of Ireland,0649,,,With Client,RSC649 - Encryption of Communications,,£0.00,27-Jan-21,27-Jan-21,
Bank of Ireland,0650,,,With Client,RSC650 - Review process for re-certification of users,,£0.00,18-Mar-21,27-Mar-21,
Bank of Ireland,0651,,,Pre-RSC,RSC651 - Fraud,,£0.00,18-Mar-21,27-Mar-21,
Bank of Ireland,0654,,,Delivered,RSC654 - Multicast Proxy Module,,"£5,034.00",25-May-21,25-May-21,
Bank of Ireland,0655,,,On-Hold,,,£0.00,,,
Bank of Ireland,0656,,,With Mgt,RSC656 - Amend Bulk Payment List Payees,,"£37,365.30",14-Jun-21,14-Jun-21,
BDB London,0087,,,Rejected,RSC087 - NEX Replacement,,£0.00,18-Aug-20,18-Aug-20,
BDB London,0084,,,Delivered,RSC084 – Move RegReporting,,"£9,709",16-Jul-20,16-Jul-20,
BDB London,9999,,,With Client,Upgrade,,"£48,546",08-Apr-20,08-Apr-20,
BDB London,,,,With Client,Libor Replacement Services,,"£2,500.00",16-Nov-20,16-Nov-20,
BDB London,,,,With Client,Parallel Transaction Player,,"£18,000.00",16-Nov-20,16-Nov-20,
BDB New York,9998,,,With Client,Upgrade,,£0,,,
Cynergy,0001,,,With Client,Mortgage Backed Security Deal type,,"£15,066.00",16-Feb-21,16-Feb-21,
Luminor,0011,,,Rejected,R2 Delivery 6 - Gaps ,,"£43,384",20-Sep-19,20-Sep-19,
Luminor,0012,,,Rejected,R2 Delivery 7- Gaps ,,"£55,898",20-Sep-19,20-Sep-19,
Luminor,1A,,,Delivered,End of Day - Exention to existing RSC001 ,,"£11,680",24-Apr-20,24-Apr-20,
Luminor,0010,,,Delivered,Additional Gaps - Gaps found during testing and demo's as part of D1 -D5B,,"£34,067",06-Jun-20,06-Jun-20,
Luminor,0013,,,Delivered,AM Gaps (10) Issues ,,"£164,821",,,
Luminor,0013,,,Delivered,AM Gap -  Full Counterparty Name,,£0,20-Apr-21,20-Apr-21,
Luminor,0013,,,Delivered,AM Gap -  Pledged Amount,,£0,20-Apr-21,20-Apr-21,
Luminor,0013,,,Delivered,AM Gap -  Initial Margin Calculation,,£0,20-Apr-21,20-Apr-21,
Luminor,0013,,,Delivered,AM Gap -  Selection of MTM per rule,,£0,20-Apr-21,20-Apr-21,
Luminor,0014,,,Delivered,AM Gap -  Report -Collateral CSA,,£0,20-Apr-21,20-Apr-21,
Luminor,0014,,,Delivered,AM Gap -  Report - SA CCR,,£0,20-Apr-21,20-Apr-21,
Luminor,0014,,,Delivered,AM Gap -  Automate Deployment,,£0,20-Apr-21,20-Apr-21,
Luminor,0014,,,Delivered,AM Gap -  Netting,,£0,20-Apr-21,20-Apr-21,
Luminor,0014,,,Delivered,AM Gap -  release IM at Settlement,,£0,20-Apr-21,20-Apr-21,
Luminor,0014,,,With Client,Siena SQL Report Downloader to XML,,"£8,343",08-May-21,08-May-21,
Luminor,0013,,,With Client,AM Gap -  Migration ,,£0,20-Apr-21,20-Apr-21,
N26,0003,,,Delivered,RSC003 - Additional Data ,,"£14,696",12-Aug-20,12-Aug-20,
N26,0004,,,Delivered,RSC004 - Amazon Cloud,,"£15,000.00",27-Nov-20,27-Nov-20,
N26,0005,,,Delivered,Report CSV,,"£2,515.46",24-Feb-21,24-Feb-21,
Rand Merchant Bank,0217,,,Ref Product,RSC217 - Block Trade RFSQ Pricing,,"£10,849",07-Jan-20,07-Jan-20,
Rand Merchant Bank,0212,,,Ref Product,RSC212 - Bloomberg allocations,,"£21,358",04-Dec-19,04-Dec-19,
Rand Merchant Bank,0211,,,Ref Product,RSC211 - Siena Multi-Deal booking across different entities,,"£17,629",02-Dec-19,02-Dec-19,
Rand Merchant Bank,0210,,,Ref Product,RSC210 - Accelerate Multi-Deal Upload for multiple Entities,,"£17,290",02-Nov-19,02-Nov-19,
Rand Merchant Bank,0204,,,Ref Product,RSC204 - User Managed SSI's,,£0.00,25-Aug-20,25-Aug-20,
Rand Merchant Bank,,,,Ref Product,Market Connectivity - Certificated/Approved OOTB Connections,,£0.00,07-Sep-20,07-Sep-20,
Rand Merchant Bank,,,,Ref Product,eTrader - Permissions Allow Excel Export at user/group level.,,£0.00,05-Oct-20,05-Oct-20,
Rand Merchant Bank,0218,,,Approved,RSC218 - Upgrade To Product,,"£85,365",24-Feb-20,24-Feb-20,
Rand Merchant Bank,0219,,,Approved,RSC219 - Money Market Indicators and Counterparty Segments,,"£7,797",30-Jul-20,30-Jul-20,
Rand Merchant Bank,0220,,,Approved,RSC220 - Counterparty Settlement Instructions to use Direction,,"£10,510",06-Apr-21,06-Apr-21,
Zenith,0048,,,Ref Product,RSC048 - Short Sell & Buy Backs of Bonds,,"£31,530",20-May-20,20-May-20,
Zenith,0045,,,Rejected,RSC045 - Amortised Cost of a Bond,,£0.00,25-Aug-20,25-Aug-20,
Zenith,0052,,,Delivered,RSC052 - Limited Siena Trader Licence,,£0.00,25-Aug-20,25-Aug-20,
Zenith,0053,,,Rejected,RSC053 - User Profiles/Groups,,£0.00,25-Aug-20,25-Aug-20,
N26,0006,,,Delivered,Adding Call Money Deals to Treasury Risk Report,,"£9,509.45",06-May-21,06-May-21,
Bank of Ireland,0657,,,With Client,RSC657 - Encryption in the FX Pay application,,"£53,379.00",07-Jul-21,07-Jul-21,
BDB London,0090,,,Writing,Transaction Replayer Cross Release  (covered in upgrade to 5.47),,£0.00,01-Jan-21,01-Jan-21,
Rand Merchant Bank,0221,,,With Mgt,Report for deal amendments and cancellations,28-Sep-2021,"£4,230.95",27-Aug-21,27-Aug-21,
Rand Merchant Bank,0222,,,Writing,Reason Information for Close-outs captured from Siena,28-Sep-2021,"£12,549.66",27-Aug-21,27-Aug-21,
